iso_time,epoch_s,board_ms,thrust_lbf,thrust_N,raw_counts
2026-09-17T15:23:48.584,1789683828.585,142949,-0.0053,-0.024,75241
2026-09-17T15:23:48.585,1789683828.585,143065,-0.0058,-0.026,75419
2026-09-17T15:23:48.585,1789683828.586,143179,-0.0054,-0.024,75285
2026-09-17T15:23:48.987,1789683828.988,143295,-0.0054,-0.024,75378
2026-09-17T15:23:48.988,1789683828.988,143411,-0.0038,-0.017,75501
2026-09-17T15:23:48.988,1789683828.988,143525,-0.0045,-0.020,75460
2026-09-17T15:23:48.988,1789683828.989,143641,-0.0048,-0.021,75438
2026-09-17T15:23:49.390,1789683829.391,143757,-0.0046,-0.020,75560
2026-09-17T15:23:49.390,1789683829.391,143873,-0.0044,-0.020,75443
2026-09-17T15:23:49.391,1789683829.391,143987,-0.0043,-0.019,75561
2026-09-17T15:23:49.795,1789683829.795,144103,-0.0041,-0.018,75546
2026-09-17T15:23:49.795,1789683829.796,144219,-0.0045,-0.020,75402
2026-09-17T15:23:49.796,1789683829.796,144333,-0.0040,-0.018,75334
2026-09-17T15:23:49.796,1789683829.796,144449,-0.0047,-0.021,75514
2026-09-17T15:23:50.197,1789683830.198,144565,-0.0046,-0.020,75397
2026-09-17T15:23:50.198,1789683830.198,144679,-0.0039,-0.017,75539
2026-09-17T15:23:50.198,1789683830.198,144795,-0.0042,-0.019,75286
2026-09-17T15:23:50.602,1789683830.603,144911,-0.0046,-0.020,75238
2026-09-17T15:23:50.603,1789683830.603,145026,-0.0046,-0.020,75239
2026-09-17T15:23:50.603,1789683830.603,145141,-0.0044,-0.020,75208
2026-09-17T15:23:50.603,1789683830.604,145257,-0.0052,-0.023,75284
2026-09-17T15:23:51.004,1789683831.004,145372,-0.0050,-0.022,75404
2026-09-17T15:23:51.004,1789683831.005,145487,-0.0040,-0.018,75350
2026-09-17T15:23:51.004,1789683831.005,145603,-0.0036,-0.016,75546
2026-09-17T15:23:51.407,1789683831.408,145719,-0.0032,-0.014,75405
2026-09-17T15:23:51.408,1789683831.408,145833,-0.0035,-0.016,75560
2026-09-17T15:23:51.408,1789683831.408,145949,-0.0052,-0.023,75824
2026-09-17T15:23:51.408,1789683831.408,146065,-0.0034,-0.015,75880
2026-09-17T15:23:51.810,1789683831.811,146180,-0.0025,-0.011,75931
2026-09-17T15:23:51.811,1789683831.811,146295,-0.0034,-0.015,75623
2026-09-17T15:23:51.811,1789683831.811,146411,-0.0029,-0.013,75547
2026-09-17T15:23:52.214,1789683832.215,146526,-0.0032,-0.014,75648
