# t_s, edges, edges_per_s, motor_rpm, rotor_rpm
445.681,55,1098.5,16477,2060
445.731,56,1118.5,16778,2097
445.781,56,1118.1,16771,2096
445.831,55,1097.0,16456,2057
445.882,56,1118.3,16775,2097
445.932,56,1116.0,16740,2093
445.982,56,1117.6,16764,2096
446.032,55,1098.2,16472,2059
446.082,56,1117.6,16763,2095
446.132,55,1099.8,16497,2062
446.182,56,1117.1,16757,2095
446.232,56,1117.3,16759,2095
446.282,55,1099.6,16494,2062
446.332,56,1117.8,16766,2096
446.383,56,1116.7,16751,2094
446.433,55,1098.5,16478,2060
446.483,56,1119.1,16786,2098
446.533,55,1096.6,16449,2056
446.583,56,1117.0,16755,2094
446.633,56,1116.3,16744,2093
446.683,55,1098.9,16483,2060
446.733,56,1117.1,16756,2095
446.783,56,1116.4,16746,2093
446.834,55,1096.9,16454,2057
446.884,56,1118.7,16781,2098
446.934,56,1119.6,16794,2099
446.984,55,1097.6,16463,2058
447.034,56,1119.8,16797,2100
447.084,55,1096.9,16453,2057
447.134,56,1117.6,16763,2095
447.184,56,1117.4,16762,2095
447.234,55,1097.2,16458,2057
447.284,56,1119.6,16794,2099
447.334,55,1098.4,16476,2060
447.385,56,1116.4,16747,2093
447.435,56,1118.6,16779,2097
447.485,55,1098.5,16477,2060
447.535,56,1118.5,16777,2097
447.585,55,1100.0,16500,2062
447.635,56,1119.3,16789,2099
447.685,56,1119.8,16797,2100
447.735,55,1097.3,16460,2057
447.785,56,1120.0,16800,2100
447.835,56,1116.2,16743,2093
447.885,55,1098.2,16473,2059
447.935,56,1118.3,16774,2097
447.985,56,1117.4,16762,2095
448.035,55,1097.9,16469,2059
448.086,56,1113.4,16701,2088
448.136,56,1117.8,16767,2096
448.186,56,1116.6,16749,2094
448.236,56,1115.8,16737,2092
448.286,55,1099.3,16489,2061
448.336,56,1118.2,16774,2097
448.386,56,1117.2,16757,2095
448.436,55,1099.8,16497,2062
448.487,56,1116.2,16743,2093
448.537,56,1119.3,16790,2099
448.587,56,1116.3,16745,2093
448.637,55,1099.2,16488,2061
448.687,56,1118.6,16779,2097
448.737,56,1119.7,16795,2099
448.787,56,1117.3,16760,2095
448.837,55,1099.8,16497,2062
448.887,56,1118.4,16776,2097
448.937,56,1114.4,16716,2090
448.987,56,1119.0,16785,2098
449.037,55,1098.7,16480,2060
